Hawaii Ocean Time-series : 01-May-2022 22:32:31
https://hahana.soest.hawaii.edu/hot/hot-dogs/ppextraction.html

crn, date, stime, etime, itype, depth, chl, l12, 
#, yymmdd, hhmm, hhmm, , m, mg/m3, mg C/m3, 
 49, 930914,  515, 1900,  1,   45,  0.080,  5.297,
 49, 930914,  515, 1900,  1,   75,  0.131,  3.050,
 49, 930914,  515, 1900,  1,  100,  0.206,  1.253,
 49, 930914,  515, 1900,  1,  125,  0.195,  0.480,
 49, 930914,  515, 1900,  1,  150,  0.131,  0.243,
 49, 930914,  515, 1900,  1,  175,  0.077,  0.213,
 50, 931029,  640, 1830,  1,    5,  0.074,  3.687,
 50, 931029,  640, 1830,  1,   25,  0.077,  2.710,
 50, 931029,  640, 1830,  1,   45,  0.057,  1.780,
 50, 931029,  640, 1830,  1,   75,  0.145,  1.203,
 50, 931029,  640, 1830,  1,  100,  0.167,  0.930,
 50, 931029,  640, 1830,  1,  125,  0.127,  0.227,
 50, 931029,  640, 1830,  1,  150,  0.033,  0.090,
 50, 931029,  640, 1830,  1,  175,  0.017,  0.037,
 51, 940120,  700, 1903,  1,    5,  0.135,  4.913,
 51, 940120,  700, 1903,  1,   25,  0.125,  4.917,
 51, 940120,  700, 1903,  1,   45,  0.133,  2.827,
 51, 940120,  700, 1903,  1,   75,  0.141,  1.523,
 51, 940120,  700, 1903,  1,  100,  0.166,  0.973,
 51, 940120,  700, 1903,  1,  125,  0.151,  0.147,
 51, 940120,  700, 1903,  1,  150,  0.129,  0.110,
 51, 940120,  700, 1903,  1,  175,  0.138,  0.093,
 52, 940217,  553, 1800,  1,    5,  0.172,  8.427,
 52, 940217,  553, 1800,  1,   25,  0.181,  3.567,
 52, 940217,  553, 1800,  1,   45,  0.178,  3.027,
 52, 940217,  553, 1800,  1,   75,  0.207,  0.850,
 52, 940217,  553, 1800,  1,  100,  0.204,  0.383,
 52, 940217,  553, 1800,  1,  125,  0.197,  0.150,
